,PX_VOLUME
2018-11-14,844696
2018-11-15,256499
2018-11-16,159001
2018-11-19,33575
2018-11-20,983120
2018-11-21,734277
2018-11-22,734277
2018-11-23,1014667
2018-11-26,663108
2018-11-27,764010
2018-11-28,831688
2018-11-29,812721
2018-11-30,796714
2018-12-03,758010
2018-12-04,738130
2018-12-05,624914
2018-12-06,987266
2018-12-07,987717
2018-12-10,733225
2018-12-11,665262
2018-12-12,730810
2018-12-13,733627
2018-12-14,526839
2018-12-17,211257
2018-12-18,120101
2018-12-19,37160
2018-12-20,794130
2018-12-21,694003
2018-12-24,415859
2018-12-25,415859
2018-12-26,698408
2018-12-27,665590
2018-12-28,564385
2018-12-31,476970
2019-01-01,476970
2019-01-02,850480
2019-01-03,788718
2019-01-04,817277
2019-01-07,819939
2019-01-08,765981
2019-01-09,891922
2019-01-10,821782
2019-01-11,812339
2019-01-14,791527
2019-01-15,664183
2019-01-16,694182
2019-01-17,288560
2019-01-18,193099
2019-01-21,193099
2019-01-22,46027
2019-01-23,702866
2019-01-24,714415
2019-01-25,593385
2019-01-28,650667
2019-01-29,660527
2019-01-30,731312
2019-01-31,718650
2019-02-01,689566
2019-02-04,622472
2019-02-05,609756
2019-02-06,606720
2019-02-07,749010
2019-02-08,621003
2019-02-11,750242
2019-02-12,708312
2019-02-13,706552
2019-02-14,623546
2019-02-15,276907
2019-02-18,276907
2019-02-19,153728
2019-02-20,37682
2019-02-21,546202
2019-02-22,513439
2019-02-25,723012
2019-02-26,538919
2019-02-27,577227
2019-02-28,496678
2019-03-01,684186
2019-03-04,549396
2019-03-05,538399
2019-03-06,637677
2019-03-07,628824
2019-03-08,747358
2019-03-11,597156
2019-03-12,652798
2019-03-13,610616
2019-03-14,567604
2019-03-15,507393
2019-03-18,157241
2019-03-19,114822
2019-03-20,31126
2019-03-21,655380
2019-03-22,738840
2019-03-25,705399
2019-03-26,685988
2019-03-27,732150
2019-03-28,712209
2019-03-29,705559
2019-04-01,670808
2019-04-02,793227
2019-04-03,799672
2019-04-04,684973
2019-04-05,686862
2019-04-08,895767
2019-04-09,790677
2019-04-10,722216
2019-04-11,760504
2019-04-12,625588
2019-04-15,555858
2019-04-16,547469
2019-04-17,235376
2019-04-18,148238
2019-04-19,148238
2019-04-22,30139
2019-04-23,700598
2019-04-24,678386
2019-04-25,603001
2019-04-26,1000836
2019-04-29,654076
2019-04-30,750494
2019-05-01,664739
2019-05-02,914661
2019-05-03,646866
2019-05-06,768810
2019-05-07,842810
2019-05-08,791769
2019-05-09,769583
2019-05-10,786494
2019-05-13,1003106
2019-05-14,751668
2019-05-15,723001
2019-05-16,545679
2019-05-17,215802
2019-05-20,131888
2019-05-21,28906
2019-05-22,766728
2019-05-23,1108052
2019-05-24,758099
2019-05-27,758099
2019-05-28,1020323
2019-05-29,1124959
2019-05-30,842281
2019-05-31,1031488
2019-06-03,984308
2019-06-04,831625
2019-06-05,943186
2019-06-06,790067
2019-06-07,828133
2019-06-10,687146
2019-06-11,642940
2019-06-12,786105
2019-06-13,945024
2019-06-14,574229
2019-06-17,397868
2019-06-18,181640
2019-06-19,122838
2019-06-20,27880
2019-06-21,676047
2019-06-24,597164
2019-06-25,673140
2019-06-26,686817
2019-06-27,531405
2019-06-28,556101
2019-07-01,674887
2019-07-02,878938
2019-07-03,600131
2019-07-04,600131
2019-07-05,698015
2019-07-08,540861
2019-07-09,551872
2019-07-10,690656
2019-07-11,573019
2019-07-12,469029
2019-07-15,566818
2019-07-16,712540
2019-07-17,504432
2019-07-18,215361
2019-07-19,105217
2019-07-22,24302
2019-07-23,521876
2019-07-24,745248
2019-07-25,559282
2019-07-26,476785
2019-07-29,529742
2019-07-30,547401
2019-07-31,614001
2019-08-01,886748
2019-08-02,739810
2019-08-05,823844
2019-08-06,682794
2019-08-07,1063214
2019-08-08,724762
2019-08-09,726386
2019-08-12,611027
2019-08-13,783486
2019-08-14,718293
2019-08-15,527866
2019-08-16,168345
2019-08-19,113571
2019-08-20,47450
2019-08-21,704035
2019-08-22,621573
2019-08-23,807151
2019-08-26,679022
2019-08-27,596624
2019-08-28,674048
2019-08-29,630760
2019-08-30,708268
2019-09-02,708268
2019-09-03,970804
2019-09-04,682298
2019-09-05,712466
2019-09-06,714294
2019-09-09,646993
2019-09-10,755472
2019-09-11,858772
2019-09-12,845977
2019-09-13,599470
2019-09-16,1404916
2019-09-17,993237
2019-09-18,216961
2019-09-19,112327
2019-09-20,37979
2019-09-23,526785
2019-09-24,591529
2019-09-25,563550
2019-09-26,599653
2019-09-27,712966
2019-09-30,532522
2019-10-01,589176
2019-10-02,590306
2019-10-03,642466
2019-10-04,541104
2019-10-07,549019
2019-10-08,658324
2019-10-09,632666
2019-10-10,613944
2019-10-11,741704
2019-10-14,467643
2019-10-15,511249
2019-10-16,451643
2019-10-17,418422
2019-10-18,174477
2019-10-21,95979
2019-10-22,33916
2019-10-23,620202
2019-10-24,480764
2019-10-25,445020
2019-10-28,437020
2019-10-29,521457
2019-10-30,659328
2019-10-31,677419
2019-11-01,538117
2019-11-04,580350
2019-11-05,435319
2019-11-06,623258
2019-11-07,678165
2019-11-08,636941
2019-11-11,498981
2019-11-12,586568
2019-11-13,547635
2019-11-14,516832
2019-11-15,375993
2019-11-18,159328
2019-11-19,121214
2019-11-20,31918
2019-11-21,593533
2019-11-22,508244
2019-11-25,420642
2019-11-26,443816
2019-11-27,454256
2019-11-28,454256
2019-11-29,718724
2019-12-02,616423
2019-12-03,560554
2019-12-04,760541
2019-12-05,649461
2019-12-06,679609
2019-12-09,511561
2019-12-10,566822
2019-12-11,589650
2019-12-12,530851
2019-12-13,512288
2019-12-16,347395
2019-12-17,163744
2019-12-18,131071
2019-12-19,35460
2019-12-20,552517
2019-12-23,314711
2019-12-24,204535
2019-12-25,204535
2019-12-26,265091
2019-12-27,351899
2019-12-30,427149
2019-12-31,494535
2020-01-01,494535
2020-01-02,486873
2020-01-03,885861
2020-01-06,724236
2020-01-07,582649
2020-01-08,1205710
2020-01-09,750933
2020-01-10,596186
2020-01-13,584002
2020-01-14,507714
2020-01-15,433169
2020-01-16,182871
2020-01-17,122561
2020-01-20,122561
2020-01-21,50183
2020-01-22,620119
2020-01-23,703995
2020-01-24,586195
2020-01-27,712880
2020-01-28,633963
2020-01-29,624979
2020-01-30,720123
2020-01-31,827907
2020-02-03,876044
2020-02-04,859357
2020-02-05,887946
2020-02-06,750659
2020-02-07,768345
2020-02-10,715894
2020-02-11,725733
2020-02-12,795256
2020-02-13,745400
2020-02-14,607343
2020-02-17,607343
2020-02-18,221774
2020-02-19,113683
2020-02-20,30667
2020-02-21,707555
2020-02-24,765515
2020-02-25,764989
2020-02-26,884482
2020-02-27,1011915
2020-02-28,1101659
2020-03-02,949471
2020-03-03,1011933
2020-03-04,745856
2020-03-05,704591
2020-03-06,1276180
2020-03-09,1774383
2020-03-10,1064632
2020-03-11,874646
2020-03-12,1025036
2020-03-13,743129
2020-03-16,698829
2020-03-17,545820
2020-03-18,309481
2020-03-19,136722
2020-03-20,29759
2020-03-23,852951
2020-03-24,659697
2020-03-25,618725
2020-03-26,633877
2020-03-27,603124
2020-03-30,758711
2020-03-31,660082
2020-04-01,703286
2020-04-02,1095972
2020-04-03,1007577
2020-04-06,752710
2020-04-07,797707
2020-04-08,823554
2020-04-09,1122149
2020-04-10,1122149
2020-04-13,775120
2020-04-14,785478
2020-04-15,544797
2020-04-16,350942
2020-04-17,240628
2020-04-20,247947
2020-04-21,18443
2020-04-22,1235218
2020-04-23,833584
2020-04-24,600220
2020-04-27,623201
2020-04-28,897087
2020-04-29,554134
