,XOM,MRO,OXY
2017-06-16,39726069,16457424,6438519
2017-06-19,10445743,10139721,6818296
2017-06-20,13232586,18851783,4150077
2017-06-21,11422346,19904441,4976093
2017-06-22,8139916,12304566,3700511
2017-06-23,10611159,14252811,4844028
2017-06-26,7718724,9819888,3687612
2017-06-27,9221642,24909384,2976107
2017-06-28,9189671,23210374,4533379
2017-06-29,20525077,19772484,3959749
2017-06-30,14000606,15088431,4707823
2017-07-03,8422283,8812912,2806548
2017-07-04,8422283,8812912,2806548
2017-07-05,9830764,18979809,4070463
2017-07-06,9822388,17909368,4341003
2017-07-07,10777832,15445947,3257119
2017-07-10,6338262,10970423,2778252
2017-07-11,9681117,10410178,2757330
2017-07-12,7973953,17744826,3355836
2017-07-13,5582349,18171571,3053760
2017-07-14,7497160,15235661,2575077
2017-07-17,7914701,14067463,3966824
2017-07-18,8046119,14961552,3613717
2017-07-19,9393178,19457909,4062599
2017-07-20,9680965,18313409,3082246
2017-07-21,12268605,12368309,3418942
2017-07-24,9402997,9086090,2750554
2017-07-25,11465272,19405743,3941343
2017-07-26,10465120,14425313,3537841
2017-07-27,11149690,15910213,4622516
2017-07-28,22800785,15975308,3984814
2017-07-31,12820175,10798345,4102133
2017-08-01,10421212,13883796,2918207
2017-08-02,10410075,23072698,5934599
2017-08-03,10136708,32550204,5768938
2017-08-04,8292204,21773594,3313589
2017-08-07,7893753,19967845,3204400
2017-08-08,9028396,13121097,3231082
2017-08-09,8087101,13580863,2483393
2017-08-10,12580300,12984711,2991021
2017-08-11,10192375,11705821,2475317
2017-08-14,8862475,14230605,2464144
2017-08-15,10350948,11987284,3133324
2017-08-16,9117145,13837717,3687480
2017-08-17,13400356,15778209,4145853
2017-08-18,14324342,28729837,4042915
2017-08-21,10084930,11220227,2788993
2017-08-22,9503600,10107701,2563783
2017-08-23,7054254,6713538,2759772
2017-08-24,8678316,7748814,2387837
2017-08-25,6844875,7086851,1925903
2017-08-28,8229665,8585247,2381073
2017-08-29,7060375,7702913,2825465
2017-08-30,8217965,8904797,2855922
2017-08-31,15641735,15377172,3729611
2017-09-01,7361092,7786948,2635770
2017-09-04,7361092,7786948,2635770
2017-09-05,12784845,11143780,4619762
2017-09-06,18574383,16719931,4086281
2017-09-07,9836447,10872211,4037058
2017-09-08,8436033,18652332,3502021
2017-09-11,12955773,8551556,4402960
2017-09-12,7644403,8871420,4436640
2017-09-13,8369659,14818869,4139200
2017-09-14,9072627,13858566,4765031
2017-09-15,16043707,11335041,5291423
2017-09-18,8594362,10070296,4192394
2017-09-19,9277072,7781787,3221259
2017-09-20,10606860,15745095,3519805
2017-09-21,11984170,18559423,2676782
2017-09-22,10205789,11858658,3412058
2017-09-25,10496637,10769018,5157853
2017-09-26,8755080,14915364,3425532
2017-09-27,9724511,21628011,3523410
2017-09-28,15581727,19314285,3388661
2017-09-29,9943991,14510249,3559687
2017-10-02,6777857,11024592,2775090
2017-10-03,6081997,9736190,1862017
2017-10-04,6357088,14323322,3355841
2017-10-05,7375872,11090661,3028636
2017-10-06,6070620,7784198,2303213
2017-10-09,7489884,6952850,3117632
2017-10-10,7218534,9912484,3435363
2017-10-11,7023706,7727199,2044645
2017-10-12,6647544,6869646,3100040
2017-10-13,7180046,11382952,3377630
2017-10-16,5734007,11375775,2668801
2017-10-17,6444106,9219151,3092590
2017-10-18,6367060,9874703,2895117
2017-10-19,7945461,7345124,3568070
2017-10-20,9574086,7477768,4522973
